,index,timestamp,address,sens1,sens2,sens3,sens4
7,11407,0.020999908447265625, John/eeg, 785.311355311, 876.776556777, 869.523809524, 840.512820513
9,11409,0.020999908447265625, John/eeg, 794.175824176, 878.388278388, 874.358974359, 849.78021978
11,11411,0.020999908447265625, John/eeg, 798.608058608, 881.611721612, 865.494505495, 853.003663004
13,11413,0.020999908447265625, John/eeg, 788.534798535, 884.029304029, 857.435897436, 838.498168498
15,11415,0.021999835968017578, John/eeg, 790.952380952, 886.043956044, 874.358974359, 832.857142857
17,11417,0.021999835968017578, John/eeg, 788.131868132, 877.582417582, 869.926739927, 831.648351648
19,11419,0.021999835968017578, John/eeg, 792.967032967, 874.358974359, 860.659340659, 803.443223443
21,11421,0.021999835968017578, John/eeg, 797.802197802, 884.432234432, 869.120879121, 777.252747253
23,11423,0.023000001907348633, John/eeg, 816.73992674, 884.432234432, 865.897435897, 817.545787546
25,11425,0.023000001907348633, John/eeg, 819.56043956, 888.058608059, 871.538461538, 844.945054945
27,11427,0.023000001907348633, John/eeg, 774.835164835, 890.476190476, 872.747252747, 838.498168498
29,11429,0.023000001907348633, John/eeg, 774.432234432, 888.058608059, 865.494505495, 838.095238095
43,11443,0.06299996376037598, John/eeg, 777.655677656, 884.835164835, 864.688644689, 836.080586081
45,11445,0.06299996376037598, John/eeg, 772.014652015, 882.820512821, 869.120879121, 844.542124542
47,11447,0.06299996376037598, John/eeg, 805.054945055, 887.252747253, 855.824175824, 848.168498168
49,11449,0.06399989128112793, John/eeg, 816.73992674, 884.029304029, 851.391941392, 850.586080586
51,11451,0.06399989128112793, John/eeg, 795.384615385, 881.208791209, 859.853479853, 849.78021978
73,11473,0.06699991226196289, John/eeg, 773.223443223, 882.014652015, 874.358974359, 844.139194139
75,11475,0.06699991226196289, John/eeg, 778.864468864, 878.791208791, 878.791208791, 849.377289377
77,11477,0.06699991226196289, John/eeg, 789.340659341, 881.208791209, 864.285714286, 853.80952381
79,11479,0.06799983978271484, John/eeg, 787.326007326, 884.432234432, 863.47985348, 848.974358974
81,11481,0.06799983978271484, John/eeg, 781.684981685, 880.805860806, 867.106227106, 854.615384615
83,11483,0.06799983978271484, John/eeg, 776.84981685, 886.446886447, 867.509157509, 865.494505495
85,11485,0.06799983978271484, John/eeg, 772.014652015, 887.655677656, 872.344322344, 849.377289377
93,11493,0.12599992752075195, John/eeg, 767.179487179, 883.626373626, 875.164835165, 841.318681319
95,11495,0.12899994850158691, John/eeg, 785.311355311, 886.043956044, 879.597069597, 878.388278388
97,11497,0.12899994850158691, John/eeg, 812.307692308, 882.820512821, 874.761904762, 897.728937729
99,11499,0.12899994850158691, John/eeg, 818.351648352, 883.223443223, 858.644688645, 892.087912088
101,11501,0.12899994850158691, John/eeg, 815.531135531, 886.84981685, 863.47985348, 887.252747253
103,11503,0.12899994850158691, John/eeg, 815.934065934, 888.461538462, 877.985347985, 867.912087912
105,11505,0.12899994850158691, John/eeg, 814.725274725, 883.223443223, 875.164835165, 834.468864469
107,11507,0.12899994850158691, John/eeg, 819.963369963, 879.194139194, 875.164835165, 824.395604396
109,11509,0.12899994850158691, John/eeg, 827.216117216, 885.641025641, 881.208791209, 829.633699634
111,11511,0.12899994850158691, John/eeg, 815.531135531, 875.970695971, 869.926739927, 825.604395604
113,11513,0.12899994850158691, John/eeg, 817.948717949, 879.597069597, 861.062271062, 836.886446886
115,11515,0.12899994850158691, John/eeg, 810.293040293, 888.461538462, 873.15018315, 851.391941392
123,11523,0.1679999828338623, John/eeg, 809.487179487, 882.014652015, 878.388278388, 848.974358974
125,11525,0.1679999828338623, John/eeg, 807.875457875, 877.985347985, 872.747252747, 844.945054945
127,11527,0.1679999828338623, John/eeg, 791.355311355, 873.956043956, 874.761904762, 846.153846154
129,11529,0.16899991035461426, John/eeg, 804.652014652, 880.402930403, 866.703296703, 838.901098901
131,11531,0.16899991035461426, John/eeg, 816.336996337, 886.446886447, 864.285714286, 842.527472527
133,11533,0.16899991035461426, John/eeg, 796.996336996, 878.388278388, 867.106227106, 850.989010989
135,11535,0.1699998378753662, John/eeg, 780.073260073, 875.567765568, 871.941391941, 852.197802198
157,11557,0.17199993133544922, John/eeg, 787.326007326, 884.432234432, 877.582417582, 862.673992674
159,11559,0.17299985885620117, John/eeg, 806.263736264, 881.208791209, 865.091575092, 861.868131868
161,11561,0.17299985885620117, John/eeg, 819.56043956, 872.747252747, 855.421245421, 851.391941392
163,11563,0.17299985885620117, John/eeg, 804.249084249, 867.106227106, 850.989010989, 846.95970696
165,11565,0.17299985885620117, John/eeg, 789.340659341, 866.703296703, 856.227106227, 850.989010989
167,11567,0.2089998722076416, John/eeg, 800.21978022, 869.523809524, 869.523809524, 843.333333333
169,11569,0.21000003814697266, John/eeg, 825.604395604, 866.3003663, 872.344322344, 823.58974359
171,11571,0.21000003814697266, John/eeg, 823.186813187, 871.538461538, 877.582417582, 825.604395604
173,11573,0.21000003814697266, John/eeg, 793.772893773, 866.3003663, 880.402930403, 840.10989011
175,11575,0.21000003814697266, John/eeg, 783.6996337, 857.838827839, 865.494505495, 845.347985348
177,11577,0.2109999656677246, John/eeg, 784.102564103, 864.688644689, 850.586080586, 847.765567766
179,11579,0.2109999656677246, John/eeg, 779.267399267, 869.523809524, 861.465201465, 849.78021978
181,11581,0.2109999656677246, John/eeg, 789.743589744, 871.538461538, 862.271062271, 850.183150183
183,11583,0.2109999656677246, John/eeg, 806.666666667, 877.985347985, 853.80952381, 870.32967033
185,11585,0.21199989318847656, John/eeg, 791.355311355, 876.373626374, 857.435897436, 879.597069597
187,11587,0.21199989318847656, John/eeg, 770.402930403, 867.106227106, 867.509157509, 878.388278388
189,11589,0.21199989318847656, John/eeg, 771.611721612, 867.509157509, 869.120879121, 875.567765568
203,11603,0.2909998893737793, John/eeg, 787.326007326, 871.135531136, 861.868131868, 833.26007326
205,11605,0.2909998893737793, John/eeg, 801.831501832, 868.315018315, 858.644688645, 822.380952381
207,11607,0.2909998893737793, John/eeg, 787.728937729, 863.076923077, 854.212454212, 842.124542125
209,11609,0.29200005531311035, John/eeg, 761.538461538, 868.315018315, 861.465201465, 830.842490842
211,11611,0.29200005531311035, John/eeg, 780.879120879, 874.358974359, 862.673992674, 829.230769231
213,11613,0.29200005531311035, John/eeg, 803.04029304, 864.285714286, 857.435897436, 834.468864469
215,11615,0.29200005531311035, John/eeg, 799.413919414, 863.076923077, 861.062271062, 830.842490842
217,11617,0.2929999828338623, John/eeg, 798.608058608, 865.494505495, 867.912087912, 833.663003663
219,11619,0.2929999828338623, John/eeg, 817.948717949, 865.494505495, 859.047619048, 836.483516484
241,11641,0.2949998378753662, John/eeg, 841.721611722, 871.135531136, 849.377289377, 837.289377289
243,11643,0.29600000381469727, John/eeg, 811.501831502, 872.747252747, 857.032967033, 845.750915751
245,11645,0.29600000381469727, John/eeg, 784.102564103, 873.553113553, 857.435897436, 852.197802198
253,11653,0.3320000171661377, John/eeg, 761.941391941, 868.717948718, 865.091575092, 857.435897436
255,11655,0.33299994468688965, John/eeg, 730.915750916, 865.494505495, 877.582417582, 869.523809524
257,11657,0.33299994468688965, John/eeg, 747.435897436, 868.717948718, 876.776556777, 870.32967033
259,11659,0.33299994468688965, John/eeg, 763.956043956, 876.776556777, 866.3003663, 860.659340659
261,11661,0.3339998722076416, John/eeg, 774.835164835, 875.164835165, 856.227106227, 845.347985348
263,11663,0.3339998722076416, John/eeg, 787.326007326, 867.106227106, 861.062271062, 848.571428571
265,11665,0.3339998722076416, John/eeg, 794.175824176, 862.271062271, 859.047619048, 858.644688645
267,11667,0.3339998722076416, John/eeg, 803.846153846, 857.032967033, 855.421245421, 860.659340659
269,11669,0.33500003814697266, John/eeg, 827.216117216, 865.091575092, 858.241758242, 880.805860806
